"uuid","organization_uuid","cash_register_uuid"
"30428d69-2222-42e2-ac2e-1535fe8ef78e","38d1181e-0334-11eb-806c-01e1b5fc0df7","e1862818-0ff6-11eb-8cd4-20d5bd870d9c"
"4b88f924-f396-11eb-9add-876f54372f76","d0a41c1e-a28e-11eb-b320-d6152b055cc2","4b62e8b4-de48-11eb-a293-7b1ac321b5fe"
"98f12b76-f393-11eb-943a-a78d37307e6f","39d73936-2b84-4232-b8ab-3760fba3602a","5cde31d0-4c5b-11e7-816f-344741ccb8c3"
"9ecd6b54-f393-11eb-82a2-a7dc9268dec4","a88e9d74-b61a-11e9-96d5-2e450840ac30","7861cc04-b61d-11e9-83fe-f1d2566701d9"
"bfa06980-f393-11eb-89da-9d3476febd53","aa8b0360-916d-11e8-af36-f624a7d38d6e","94db5c3c-63b1-11ea-aa08-fd2ff905cde7"
"c175c98a-f393-11eb-a599-1ddd750fc33d","af35ed3a-a10a-11eb-9809-af7b6320761a","8a2cde9a-a44d-11eb-9f8d-e02844cee73e"
"c3296070-f393-11eb-a8e7-e1eccf569ed5","8bcb6cd8-9cb8-11e9-8600-e5c9774b7233","7320bb3e-9da3-11e9-948f-d2102e83356c"
"c4061542-f393-11eb-916d-e1af97322c0c","98774a80-1021-11e8-b1f6-5aed9100680b","a67faa30-7888-11e8-b0af-17a241262b06"
"c5448b6e-f393-11eb-9305-4373f51f9493","2f05ed28-c8ff-11eb-acec-5a685f84d167","94b644a4-c933-11eb-9be4-9a10d3d18e56"
"cdd6547e-f393-11eb-a2c8-3f3919dc77a1","850b5150-3f6f-11e6-9122-821c2d238731","c9d572fc-a8fb-11eb-ad9b-65119dbf927f"
